Registry ID,Co-op Name,Incorporation Year,Address,Town,Province/State,Postal Code,Type
3298712,NOVA SCOTIA FIBRE MILL CO-OP LIMITED,2016,1736 CHURCH STREET,PORT WILLIAMS,NS,B0P 1T0,CRAFT PRODUCTS
3246517,OFF THE HOOK COOPERATIVE LTD.,2010,2705 FERN LANE,HALIFAX,NS,B3K 4L3,FISH PRODUCTS
3058103,OIKOCREDIT CANADA ATLANTIC CO-OPERATIVE LIMITED,2001,25 GRAHAM STREET,DARTMOUTH,NS,B3A 3H9,INVESTMENT
3004733,OLD RAILWAY CABINS COOPERATIVE LTD.,1997,"138 CANAAN ROAD, RR #1",AYLESFORD,NS,B0P 1C0,SERVICES
1352231,OVO CO-OPERATIVE LIMITED,1975,6155 LAWRENCE STREET ,HALIFAX,NS,B3L 1J7,HOUSING
3289711,PAN CAPE BRETON FOOD HUB CO-OPERATIVE LTD.,2015,PO BOX 849,BADDECK,NS,B0E 2B0,AGRICULTURE
3162613,PARRSBORO WELLNESS CENTRE CO-OP LTD.,2006,BOX 868,PARRSBORO,NS,B0M 1S0,SERVICES
3094178,PATHWAYS HOUSING SERVICES CO-OPERATIVE LTD.,2004,PO BOX 152 DMPS,DARTMOUTH,NS,B2Y 3Y3,SERVICES
1352260,PATURAGE CO-OPERATIF DE CHETICAMP LIMITE,1962,PO BOX 104,GRAND ETANG,NS,B0E 1L0,SERVICES
3065444,PEER GALLERY CO-OPERATIVE LIMITED,2002,C/O PO BOX 52,LUNENBURG,NS,B0J 2C0,RETAIL CONSUMER PRODUCTS
3089795,PINE HAVEN WATER CO-OPERATIVE LIMITED,2004,PO BOX 33,COLDBROOK,NS,B4R 1C5,SERVICES
3256205,PLAN B MERCHANTS CO-OP LTD.,2011,2180 GOTTINGEN STREET,HALIFAX,NS,B3K 3B4,WORKER LABOUR
3292144,PLANIFAX PRODUCTION CO-OPERATIVE LIMITED,2015,34- 6080 PEPPERELL STREET ,HALIFAX,NS,B3H 2N7,MISCELLANEOUS
1352300,POMQUET CO-OPERATIVE LIMITED,1936,RR #7,POMQUET,NS,B2G 2L4,RETAIL CONSUMER PRODUCTS
1352313,PORT HOOD COOPERATIVE LIMITED,1938,PO BOX 10,PORT HOOD,NS,B0E 2W0,RETAIL CONSUMER PRODUCTS
3141711,PORT HOOD RV CO-OPERATIVE LIMITED,2006,45 WHARF ROAD,PORT HOOD,NS,B0E 2W0,INVESTMENT
