ID,Description
CPLID1267,Benjamin Green Dr - Armcrescent to Chebucto
CPLID1268,First St - Connaught to Armcrescent West
CPLID1269,Herring Cove Rd - Glenora to Old Sambro
CPLID127,Chain Lake/Lakelands
CPLID1270,South Armcrescent St - First to Quinpool
CPLID1271,Third St - Newton to Connaught
CPLID1272,Coronation Ave - Gesner to Birch
CPLID1273,Eastcoast Crt - Rockhaven to end
CPLID1274,Rockhaven Dr - Woodbury to Falcon
CPLID1275,Layton Rd - Herring Cove to Penny
CPLID1276,Woodcrest Ave - Herring Cove to end
CPLID1277,White Birch Dr - Johnson to Riverwood
CPLID1278,Anderson Crt - Anderson to end
CPLID1279,Anderson Rd - Pockwock to end
CPLID128,Spring Garden/Queen
CPLID1280,Debbie Dr - Franklyn to Sherri
CPLID1281,Franklyn Dr - Pinehaven to Debbie
CPLID1282,Sherri Ln - Pinehaven to Debbie
CPLID1283,Cobequid Rd - Glendale to First Lake
CPLID1284,Kipling Dr - Maplegrove to Kipling
CPLID1285,Lumsden Cres - Lydgate to Lynville
CPLID1286,Marie Dr - Maplegrove to Kipling
CPLID1287,Cliff St - Bedford Hwy to Pine
CPLID1288,Dartmouth Rd - Bedford Hwy to Bedford Bypass
CPLID1289,Estelle Ave - Olive to Lewis
CPLID129,Portland/Alderney/Prince Albert
CPLID1290,Olive Ave - Lewis to Bernard
CPLID1291,Cobequid Rd - Judy Anne to Sucker Brook
CPLID1292,Cobequid Rd - Judy Anne to Sucker Brook
CPLID1293,Glenwood Ave - Civic 57
CPLID1294,Cogswell Interchange
CPLID1295,Barrington Street
CPLID1296,Argyle Grafton Street
CPLID1297,Chebucto/Windsor/Cunard
CPLID1298,MacLennan Drive
CPLID1299,Sackville Dr at Sackville Cross Rd
CPLID13,Metro Transit - Micmac Mall Terminal
CPLID130,Robie/University
CPLID1300,Sackville Dr at Beaver Bank Rd
CPLID1301,Glendale Dr at Raymond Dr
CPLID1302,Coburg Rd at Edward St
CPLID1303,Ross Road
CPLID1304,Dutch Village Rd
CPLID1305,Forest Hills/Flying Cloud/Chameau
CPLID1306,Washmill Lake Crt at Main Ave
CPLID1307,Baker Dr at Freshwater Trail
CPLID1308,Chebucto Rd at Benjamin Green
CPLID1309,Windsor St at Almon St
CPLID131,Quinpool/Robie
CPLID1310,Agricola St at Almon St
CPLID1311,Quinpool Rd at Preston St
CPLID1312,Prince Albert Rd at Hawthorne St
CPLID1313,Robie St at South St
CPLID1314,Landfill 101
CPLID1315,Otter Lake
CPLID1316,20 Horshoe Lake Dr
CPLID1317,61 Evergreen Place
CPLID1318,Otter Lake 
CPLID1319,Cole Harbour All Weather Field
CPLID132,Spring Garden/Summer
CPLID1320,Cornwallis Park
CPLID1321,Fort Needham
CPLID1322,Cole Harbour Commons
CPLID1323,Westridge Ball Field
CPLID1324,Sheldrake Lake
CPLID1325,Titus Smith Park
CPLID1326,Regatta Point
CPLID1327,Mainland Commons
CPLID1328,Mount Edward Road Ball Diamond
CPLID1329,Baker Drive Community Park
CPLID133,Halifax Harbour Bridges (McDonald)
CPLID1330,Nicholas Lake Trail
CPLID1331,Beazley Field
CPLID1332,Wanderers Grounds
CPLID1333,Fort Needham
CPLID1334,North Common
CPLID1335,White's Lake Swim Area
CPLID1336,Blue Mountain Birch Cove Park
CPLID1337,Belvedere Playground
CPLID1338,Sidney Crescent
CPLID1339,Baker Drive Field
CPLID134,Kincardine Dr - Inverary to Dumbarton
CPLID1340,Porters Lake Canal
CPLID1341,Gordon R. Snow
CPLID1342,Purcell's Cove Backlands
CPLID1343,High Head Barrens Park (Prospect)
CPLID1344,Atlantic View Elementary School
CPLID1345,Audrey's Park
CPLID1346,Bass Court Park
CPLID1347,Brookhouse Elementary
CPLID1348,Brownlow Park
CPLID1349,Chaswood Drive Park
CPLID135,Queen St - Morris to Spring Garden
