OBJECTID,ROUTE_NUM,CLASS,TITLE,SOURCE,SACC,SDATE,DATE_ACT,DATE_REV,Shape__Length
66,80,BASE,SACKVILLE,TRANSIT,IN,2002-08-15T00:00:00.000Z,2002-08-15T00:00:00.000Z,2005-11-30T00:00:00.000Z,42845.1482603984
67,81,WEEKDAY REGULAR,HEMLOCK RAVINE,TRANSIT,IN,2005-12-01T00:00:00.000Z,2005-12-01T00:00:00.000Z,,27299.4210651426
68,81,PEAK,HEMLOCK RAVINE,TRANSIT,IN,2005-12-02T00:00:00.000Z,2005-12-01T00:00:00.000Z,,27299.4210651426
69,86,PEAK,BASINVIEW EXPRESS,TRANSIT,IN,2002-08-15T00:00:00.000Z,2002-08-15T00:00:00.000Z,2002-08-15T00:00:00.000Z,53198.6548169167
70,90,BASE,LARRY UTECK,TRANSIT,IN,2012-02-07T00:00:00.000Z,2012-02-07T00:00:00.000Z,2014-08-25T00:00:00.000Z,27112.9220369341
71,82,PEAK,MILLWOOD,TRANSIT,IN,2002-08-15T00:00:00.000Z,2002-08-15T00:00:00.000Z,2005-11-30T00:00:00.000Z,49197.4876164257
72,82,PEAK,MILLWOOD,TRANSIT,IN,2002-08-15T00:00:00.000Z,2002-08-15T00:00:00.000Z,2005-11-30T00:00:00.000Z,49197.4876164257
73,320,BASE,AIRPORT - FALL RIVER METROX,TRANSIT,IN,2012-05-21T00:00:00.000Z,2012-05-21T00:00:00.000Z,2016-01-29T00:00:00.000Z,86893.2148345897
74,330,WEEKDAY REGULAR,TANTALLON - SHELDRAKE LAKE METROX,TRANSIT,IN,2009-08-30T00:00:00.000Z,2009-08-30T00:00:00.000Z,2015-08-24T00:00:00.000Z,83359.6193522126
75,330,PEAK,TANTALLON - SHELDRAKE LAKE METROX,TRANSIT,IN,2009-08-30T00:00:00.000Z,2009-08-30T00:00:00.000Z,2015-08-24T00:00:00.000Z,83359.6193522126
76,56,BASE,DARTMOUTH CROSSING,TRANSIT,IN,2007-01-15T00:00:00.000Z,2007-01-15T00:00:00.000Z,2017-02-20T00:00:00.000Z,18679.4128743131
77,159,PEAK,PORTLAND HILLS LINK,TRANSIT,IN,2005-12-01T00:00:00.000Z,2005-12-01T00:00:00.000Z,2018-02-07T00:00:00.000Z,20986.1472038283
78,159,WEEKDAY REGULAR,PORTLAND HILLS LINK,TRANSIT,IN,2005-12-01T00:00:00.000Z,2005-12-01T00:00:00.000Z,2018-02-07T00:00:00.000Z,20986.1472038283
79,22,BASE,ARMDALE,TRANSIT,IN,2010-08-29T00:00:00.000Z,2010-08-29T00:00:00.000Z,2017-11-27T00:00:00.000Z,13071.2548227117
80,29,BASE,BARRINGTON,TRANSIT,IN,2017-11-27T00:00:00.000Z,2017-11-27T00:00:00.000Z,,24927.2386115172
81,370,WEEKDAY REGULAR,PORTERS LAKE METROX,TRANSIT,IN,2013-11-18T00:00:00.000Z,2013-11-18T00:00:00.000Z,2018-02-07T00:00:00.000Z,53516.3588976408
82,9,BASE,9A GREYSTONE,TRANSIT,IN,2017-11-27T00:00:00.000Z,2017-11-27T00:00:00.000Z,2018-02-01T00:00:00.000Z,24826.4433396503
83,9,PEAK,9A GREYSTONE,TRANSIT,IN,2017-11-27T00:00:00.000Z,2017-11-27T00:00:00.000Z,2018-02-01T00:00:00.000Z,24826.4433396503
84,9,WEEKDAY REGULAR,9A GREYSTONE,TRANSIT,IN,2017-11-27T00:00:00.000Z,2017-11-27T00:00:00.000Z,2018-02-01T00:00:00.000Z,24826.4433396503
