OBJECTID,MATERIAL,SOURCE,SACC,ROUTE_NAME,EQUIPMENT,DATE_ACT,DATE_REV,GLOBALID,FDMID,PRIORITY,WNTR_EXCH,SDATE,Shape__Length
3174,SALT,TPW,,WSZ2,,2002-12-13T00:00:00.000Z,2018-01-19T00:00:00.000Z,06e33a08-18a7-4743-bde4-a6d66fbb5892,700008160,1,No,2002-12-13T00:00:00.000Z,267.195367385781
3175,SALT,TPW,,PB1,,2010-10-01T00:00:00.000Z,2016-08-17T00:00:00.000Z,a1d84905-539c-4453-b396-bfe6c0e0c2b5,200003098,2,No,2010-10-01T00:00:00.000Z,148.675279098783
3176,SALT,TPW,,PB1,,2010-10-01T00:00:00.000Z,2016-08-17T00:00:00.000Z,9a6d5298-7fce-4bb9-b5b0-258337020539,200002059,2,No,2010-10-01T00:00:00.000Z,92.2915003097194
3177,SALT,TPW,,W3PR,,2001-12-10T00:00:00.000Z,2018-12-01T00:00:00.000Z,9952b0b3-5070-42fd-9365-65d06d754037,300000894,1,No,2001-12-10T00:00:00.000Z,124.71685316308
3178,SALT,TPW,,PB1,,2002-11-20T00:00:00.000Z,2015-11-18T00:00:00.000Z,dcb28672-1edc-4c96-8244-b759d15844c2,200001113,1,No,2002-11-20T00:00:00.000Z,195.081691210432
3179,SALT,TPW,,PB1,,2002-11-20T00:00:00.000Z,2015-11-18T00:00:00.000Z,4e8c2079-e307-4f82-ae44-bf2491dac8d0,200001545,1,No,2002-11-20T00:00:00.000Z,336.274207399042
3180,SALT,TPW,,W2-2,,2001-10-28T00:00:00.000Z,2015-11-18T00:00:00.000Z,6d69bb04-a9ad-42c1-a8b9-8d9adc369663,300001032,2,No,2001-10-28T00:00:00.000Z,145.094539685763
3181,SALT,TPW,,PB4,,2011-08-04T00:00:00.000Z,2016-09-28T00:00:00.000Z,b0ab97ad-449c-4371-96cc-ae5c485271a2,700006837,2,No,2011-08-04T00:00:00.000Z,193.652315743479
3182,SALT,TPW,DUP,W2YR,,2001-12-16T00:00:00.000Z,2018-12-01T00:00:00.000Z,4b08c48f-0c46-4f86-8a12-a77015453851,700004928,1,No,2001-12-16T00:00:00.000Z,54.3310369105961
3183,SALT,TPW,,W1PR,,2001-09-23T00:00:00.000Z,2018-12-01T00:00:00.000Z,8d7405e0-4e35-424b-89fa-4cd087d9f7f6,300002176,1,No,2001-09-23T00:00:00.000Z,27.1712842202477
3184,SALT,TPW,,W1-3,,2001-09-23T00:00:00.000Z,2015-11-18T00:00:00.000Z,128e18e1-1566-4a36-8435-8a4fc9a52c87,300002240,2,No,2001-09-23T00:00:00.000Z,117.447085250984
3185,SAND,TPW,,PB3,,2002-12-12T00:00:00.000Z,2016-10-05T00:00:00.000Z,39d6577a-a968-43f1-9538-8d95365d5d60,100002323,1,No,2002-12-12T00:00:00.000Z,269.485947694011
3186,SALT,TPW,,PB1,,2010-10-01T00:00:00.000Z,2016-08-17T00:00:00.000Z,8c060276-e40c-4fff-96bb-fda87f4d114f,200002882,2,No,2010-10-01T00:00:00.000Z,116.455595478813
3187,SALT,TPW,,PB1,,2002-11-20T00:00:00.000Z,2015-11-18T00:00:00.000Z,0d741d67-a52a-4527-8abf-78fb448f3dca,200001655,1,No,2002-11-20T00:00:00.000Z,323.00449105122
3188,SALT,TPW,,W2-1,,2007-08-03T00:00:00.000Z,2015-11-18T00:00:00.000Z,296c7995-eedc-4cc1-a2cf-deb0d915a3f3,700003988,2,No,2007-08-03T00:00:00.000Z,194.011194368586
3189,SALT,TPW,,PB1,,2002-11-20T00:00:00.000Z,2015-11-18T00:00:00.000Z,bae74913-d5e9-4c2f-a294-48e732371799,200000933,1,No,2002-11-20T00:00:00.000Z,227.086582127404
3190,SALT,TPW,,E1-1,,2001-11-07T00:00:00.000Z,2018-12-01T00:00:00.000Z,a6f98772-c5b8-4746-8b66-11c4a8bee7dd,200000560,2,No,2001-11-07T00:00:00.000Z,123.370051388667
