OBJECTID,FULL_NAME,STR_NAME,STR_TYPE,MIX_FULL,MIX_NAME,GSA_LEFT,GSA_RIGHT,STR_CODE_L,STR_CODE_R,Shape__Length
1002720,PEGGYS COVE RD,PEGGYS COVE,RD,Peggys Cove Rd,Peggys Cove,TANTALLON,TANTALLON,10446,10446,4123.75623720029
1002721,OAKRIDGE WAY,OAKRIDGE,WAY,Oakridge Way,Oakridge,HUBLEY,HUBLEY,8325,8325,885.619340512386
1002722,WHITETAIL RUN,WHITETAIL,RUN,Whitetail Run,Whitetail,HUBLEY,HUBLEY,16171,16171,447.593871600707
1002723,WHITE SANDS CRT,WHITE SANDS,CRT,White Sands Crt,White Sands,HUBLEY,HUBLEY,5568,5568,319.228005984434
1002724,THREE BROOKS DR,THREE BROOKS,DR,Three Brooks Dr,Three Brooks,HUBLEY,HUBLEY,8877,8877,1639.01989856445
1002725,CRICKET LANE,CRICKET,LANE,Cricket Lane,Cricket,HUBLEY,HUBLEY,8514,8514,356.535010590474
1002726,HIGHWAY 111 WB EXIT 6 ON RAMP,HIGHWAY 111 WB EXIT 6 ON,RAMP,Highway 111 WB Exit 6 On Ramp,Highway 111 WB Exit 6 On,DARTMOUTH,DARTMOUTH,15150,15150,743.812322570515
1002727,THORNBURY LANE,THORNBURY,LANE,Thornbury Lane,Thornbury,MIDDLE SACKVILLE,MIDDLE SACKVILLE,17043,17043,168.286306053123
1002728,LOWTHER LANE,LOWTHER,LANE,Lowther Lane,Lowther,BEDFORD,BEDFORD,17045,17045,171.752361503628
1002729,KRAUSE CRT,KRAUSE,CRT,Krause Crt,Krause,DARTMOUTH,DARTMOUTH,17046,17046,335.594209578029
1002730,BEDFORD HWY RAMP,BEDFORD HWY,RAMP,Bedford Hwy Ramp,Bedford Hwy,HALIFAX,HALIFAX,99999,99999,345.38115326765
1002731,NORTH ST RAMP,NORTH ST,RAMP,North St Ramp,North St,HALIFAX,HALIFAX,99999,99999,67.1090881308672
1002732,WEST PETPESWICK RD,WEST PETPESWICK,RD,West Petpeswick Rd,West Petpeswick,WEST PETPESWICK,WEST PETPESWICK,5549,5549,8736.42952480344
1002733,OSTREA LAKE RD,OSTREA LAKE,RD,Ostrea Lake Rd,Ostrea Lake,OSTREA LAKE,OSTREA LAKE,8387,8387,16267.6650920826
1002734,BEAR HILL RD,BEAR HILL,RD,Bear Hill Rd,Bear HIll,MUSQUODOBOIT HARBOUR,MUSQUODOBOIT HARBOUR,7057,7057,709.625783510482
1002735,SHAHDAROBA WAY,SHAHDAROBA,WAY,Shahdaroba Way,Shahdaroba,LOWER SHIP HARBOUR,LOWER SHIP HARBOUR,17053,17053,434.789242409218
1002736,ANALISE LANE,ANALISE,LANE,Analise Lane,Analise,BEDFORD,BEDFORD,17054,17054,75.2104119985812
1002737,BONSAI DR,BONSAI,DR,Bonsai Dr,Bonsai,HAMMONDS PLAINS,HAMMONDS PLAINS,17055,17055,815.011343558307
1002738,ALLIE LANE,ALLIE,LANE,Allie Lane,Allie,WHITES LAKE,WHITES LAKE,17057,17057,368.10569264683
1002739,HIGHWAY 103 WB EXIT 5 OFF RAMP,HIGHWAY 103 WB EXIT 5 OFF,RAMP,Highway 103 WB Exit 5 Off Ramp,Highway 103 WB Exit 5 Off,UPPER TANTALLON,UPPER TANTALLON,15108,15108,699.468601114819
1002740,HIGHWAY 103 EB EXIT 5 ON RAMP,HIGHWAY 103 EB EXIT 5 ON,RAMP,Highway 103 EB Exit 5 On Ramp,Highway 103 EB Exit 5 On,UPPER TANTALLON,UPPER TANTALLON,15109,15109,887.457735129736
1002741,ANDERSON RD,ANDERSON,RD,Anderson Rd,Anderson,MUSQUODOBOIT HARBOUR,MUSQUODOBOIT HARBOUR,6945,6945,3018.88770938164
1002742,HIGHWAY 101 EB EXIT 1H HIGHWAY 102 NB RAMP,HIGHWAY 101 EB EXIT 1H HIGHWAY 102 NB,RAMP,,,BEDFORD,BEDFORD,15194,15194,566.422282102294
1002743,HIGHWAY 102 NB EXIT 4A HIGHWAY 101 EB RAMP,HIGHWAY 102 NB EXIT 4A HIGHWAY 101 EB,RAMP,,,BEDFORD,BEDFORD,15195,15195,667.854617581645
1002744,HIGHWAY 102 SB EXIT 4A HIGHWAY 101 EB RAMP,HIGHWAY 102 SB EXIT 4A HIGHWAY 101 EB,RAMP,,,LOWER SACKVILLE,LOWER SACKVILLE,15196,15196,513.372926675368
1002745,HIGHWAY 101 EB EXIT 1G HIGHWAY 102 SB RAMP,HIGHWAY 101 EB EXIT 1G HIGHWAY 102 SB,RAMP,,,LOWER SACKVILLE,LOWER SACKVILLE,15197,15197,738.520390328431
1002746,HIGHWAY 102 NB EXIT 4B HIGHWAY 101 WB RAMP,HIGHWAY 102 NB EXIT 4B HIGHWAY 101 WB,RAMP,,,LOWER SACKVILLE,LOWER SACKVILLE,16782,16782,65.6204779970737
1002747,PEGGYS COVE RD,PEGGYS COVE,RD,Peggys Cove Rd,Peggys Cove,SEABRIGHT,SEABRIGHT,10448,10448,6141.74007367425
1002748,MEADOWSWEET RD,MEADOWSWEET,RD,Meadowsweet Rd,Meadowsweet,MIDDLE SACKVILLE,MIDDLE SACKVILLE,15484,15484,991.392458721577
1002749,ASHBY LANE,ASHBY,LANE,Ashby Lane,Ashby,MIDDLE SACKVILLE,MIDDLE SACKVILLE,16060,16060,249.807858911073
1002750,TARIN LANE,TARIN,LANE,Tarin Lane,Tarin,MIDDLE SACKVILLE,MIDDLE SACKVILLE,16061,16061,130.180145300678
1002751,IVY LANE,IVY,LANE,Ivy Lane,Ivy,MIDDLE SACKVILLE,MIDDLE SACKVILLE,15848,15848,205.376271421903
1002752,COWIE HILL RD,COWIE HILL,RD,Cowie Hill Rd,Cowie Hill,HALIFAX,HALIFAX,219,219,2447.5189814171
1002753,DOLBY HILL RD,DOLBY HILL,RD,Dolby Hill Rd,Dolby Hill,HEAD OF JEDDORE,HEAD OF JEDDORE,7418,7418,657.724176529643
1002754,PINE LANE,PINE,LANE,Pine Lane,Pine,EAST CHEZZETCOOK,EAST CHEZZETCOOK,8450,8450,694.91329937483
1002755,HOPERIDGE LANE,HOPERIDGE,LANE,Hoperidge Lane,Hoperidge,EAST CHEZZETCOOK,EAST CHEZZETCOOK,16673,16673,189.756532878083
1002756,WAVES EDGE LANE,WAVES EDGE,LANE,Waves Edge Lane,Waves Edge,EAST CHEZZETCOOK,EAST CHEZZETCOOK,16324,16324,368.468585362562
1002757,EAST CHEZZETCOOK WHARF RD,EAST CHEZZETCOOK WHARF,RD,East Chezzetcook Wharf Rd,East Chezzetcook Wharf,EAST CHEZZETCOOK,EAST CHEZZETCOOK,10356,10356,628.556327950608
1002758,HIGHWAY 102 SB EXIT 5A OFF RAMP,HIGHWAY 102 SB EXIT 5A OFF,RAMP,Highway 102 SB Exit 5A Off Ramp,Highway 102 SB Exit 5A Off,GOFFS,GOFFS,15179,15179,739.17671430828
1002759,HIGHWAY 102 NB EXIT 5A ON RAMP,HIGHWAY 102 NB EXIT 5A ON,RAMP,Highway 102 NB Exit 5A On Ramp,Highway 102 NB Exit 5A On,GOFFS,GOFFS,15180,15180,920.900776570303
1002760,HIGHWAY 102 NB EXIT 5A OFF RAMP,HIGHWAY 102 NB EXIT 5A OFF,RAMP,Highway 102 NB Exit 5A Off Ramp,Highway 102 NB Exit 5A Off,GOFFS,GOFFS,15181,15181,895.760958857361
1002761,SNOWS RD,SNOWS,RD,Snows Rd,Snows,HARRIGAN COVE,HARRIGAN COVE,6274,6274,1288.2499176613
1002762,MARKETPLACE DR,MARKETPLACE,DR,Marketplace Dr,Marketplace,DARTMOUTH,DARTMOUTH,17058,17058,214.604248114789
1002763,BREAKAWAY BLVD,BREAKAWAY,BLVD,Breakaway Blvd,Breakaway,MURCHYVILLE,MURCHYVILLE,17117,17117,174.3402465357
1002764,WEST PETPESWICK RD,WEST PETPESWICK,RD,West Petpeswick Rd,West Petpeswick,MUSQUODOBOIT HARBOUR,MUSQUODOBOIT HARBOUR,10973,10973,640.747837786006
1002765,YOUNG DR,YOUNG,DR,Young Dr,Young,WEST PETPESWICK,WEST PETPESWICK,11004,11004,231.725316558629
1002766,MAURICE JAMES RD,MAURICE JAMES,RD,Maurice James Rd,Maurice James,WEST PETPESWICK,WEST PETPESWICK,15175,15175,200.75362083416
1002767,PARK RD,PARK,RD,Park Rd,Park,MUSQUODOBOIT HARBOUR,MUSQUODOBOIT HARBOUR,8399,8399,787.635055296625
1002768,CLAIRMONT LANE,CLAIRMONT,LANE,Clairmont Lane,Clairmont,MUSQUODOBOIT HARBOUR,MUSQUODOBOIT HARBOUR,16305,16305,167.178680043624
1002769,MEMORY RD,MEMORY,RD,Memory Rd,Memory,MUSQUODOBOIT HARBOUR,MUSQUODOBOIT HARBOUR,8402,8402,302.383229905571
1002770,HIGHWAY 7,HIGHWAY 7, ,Highway 7,Highway 7,PORTERS LAKE,PORTERS LAKE,7758,7758,10984.2874190767
