X,Y,OBJECTID,BUSSTOPID,STOPNUMBER,LTAR,LOCATION,ACCESSIBLE,BUSPADID,FDMID,FCODE,SOURCE,SACC,ADDDATE,MODDATE
-63.552241675610318,44.678826883752116,2346,BS1505,8068,Yes,Prince Albert Rd After Celtic Dr (8068),Accessible,CPD1801,200000891,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.733715700114409,44.654802300845539,2347,BS1830,6317,Yes,Brentwood Ave After Rosewood Ave (6317),Non-Standard,CPD297,300003167,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.567834461632152,44.674633311161443,2348,BS2642,8383,Yes,Thistle St After Beech St (8383),Accessible,CPD2538,200000622,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-04-27T00:00:00.000Z
-63.488110599829014,44.606184501135992,2349,BS149,8277,Yes,Shore Rd Before Normans Ln (8277),Accessible,CPD21,200001780,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.695207595473853,44.777370150255976,2350,BS570,6215,Yes,Beaver Bank Rd After Douglas Ave (6215),Non-Standard,CPD969,100001006,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-09-18T00:00:00.000Z
-63.639876525810244,44.657135566173281,2351,BS1461,7170,Yes,Main Ave Before Gebhardt St (7170),Accessible,CPD1763,300003358,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-10-16T00:00:00.000Z
-63.823288900000094,44.722017501119872,2352,BS1517,6813,Yes,Hammonds Plains Rd After Northwood Rd (6813),Non-Standard,CPD1691,600000079,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.640820300339314,44.651655901361266,2353,BS1654,8246,Yes,Rosedale Ave After Hillcrest St (8246),Accessible,CPD1915,300001279,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.579697299762216,44.673627100926645,2354,BS1819,6304,Yes,Boland Rd After Cairn St (6304),Accessible,CPD1888,200002871,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.492980921244744,44.695388366474333,2355,BS983,7012,Yes,Karen Dr After Hillsboro Dr (7012),Inaccessible,CPD1207,200002374,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-11-01T00:00:00.000Z
-63.471548500174571,44.602621700932666,2356,BS1088,8273,Yes,Shore Rd Before Romkey Dr (8273),Accessible,CPD199,200001801,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.681313910828159,44.833335863897702,2357,BS56,8720,Yes,Beaver Bank Rd Before Trinity Ln (8720),Non-Standard,CPD564,100001614,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-09-18T00:00:00.000Z
-63.545015599617088,44.680493800811838,2358,BS2232,6832,Yes,Harris Rd Before Curley Dr (6832),Inaccessible,CPD2220,200002247,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.70528789400921,44.891085335009905,2359,BS68,8732,Yes,Beaver Bank Rd At Civic 2661 (8732),Inaccessible,CPD576,100000832,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-09-17T00:00:00.000Z
-63.614733613459009,44.673180670624419,2360,BS142,7361,Yes,Novalea Dr Opposite Kencrest Ave (7361),Accessible,CPD640,300000140,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.629724699818695,44.631958601117354,2361,BS1314,8813,Yes,Walter Havill Dr Before Osborne St (8813),Non-Standard,CPD1485,300003462,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.68204366623236,44.783979032587318,2362,BS691,8359,Yes,Stokil Dr Before Spinner Cr (8359),Non-Standard,CPD1023,100001364,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.627912099899653,44.654772800466667,2363,BS2157,6564,Yes,Desmond Ave Before Bayers Rd (6564),Accessible,CPD350,300000997,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.590168799332453,44.674535200716541,2364,BS1275,8531,Yes,Windmill Rd Before Wallace St (8531),Accessible,CPD1613,200001855,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.58495860032896,44.678781200580254,2365,BS721,6018,Yes,Albro Lake Rd After Chapman St (6018),Accessible,CPD1044,700004588,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.528911600333359,44.674102300967675,2366,BS281,8591,Yes,Woodlawn Rd After Day Ave (8591),Accessible,CPD702,200000992,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.563296712704286,44.706574549620328,2367,BS2741,6797,Yes,Countryview Dr Before Shubie Dr (6797),Accessible,CPD2512,700004376,Conventional Transit Bus Stop,,Coordinated Point,2017-11-28T00:00:00.000Z,2018-04-03T00:00:00.000Z
-63.709492600630341,44.786546001402101,2368,BS384,7239,Yes,Millwood Dr After Canting Dr (7239),Non-Standard,CPD902,100002024,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.584462800360704,44.622060300709705,2369,BS872,8082,Yes,Purcells Cove Rd Opposite Civic 360 (8082),Non-Standard,CPD1117,300002536,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.572435800502383,44.635321600924513,2370,BS833,6972,Yes,Inglis St Opposite South Bland St (6972),Accessible,CPD1250,300002149,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.572551400204716,44.686743001166171,2371,BS1265,8265,Yes,Sea King Dr Before Lancaster Dr (8265),Non-Standard,CPD1604,200000613,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.612688335508324,44.599759810509823,2372,BS169,6795,Yes,Greystone Dr Opposite Cranberry Ct (6795),Accessible,CPD44,700001893,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.663796734041746,44.660400450879564,2373,BS2611,9107,Yes,Lacewood Terminal Bay 7 (9107),Accessible,CPD2580,700010368,Terminal,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-05-08T00:00:00.000Z
-63.661661403577099,44.670625344006915,2374,BS2760,2014,Yes,Knightsridge Dr Before Dunbrack St (2014),Accessible,CPD2703,300002983,Conventional Transit Bus Stop,15/06/2018,Coordinated Point,2018-07-12T00:00:00.000Z,2018-08-17T00:00:00.000Z
-63.583759100591315,44.652506300889954,2375,BS2326,6503,Yes,Cornwallis St After Gottingen St (6503),Accessible,CPD2433,300001055,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.639152900509536,44.652393500927339,2376,BS1655,8247,Yes,Rosedale Ave Before Hillcrest St (8247),Accessible,CPD1916,300001148,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
